k,SantosPrecision,SantosRecall,d3lPrecision,d3lRecall,kglidsPrecision,kglidsRecall,starmiePrecision,starmieRecall
1,0.975,0.07,0.5,0.03,0.961,0.072,1,0.072
2,0.955,0.145,0.47,0.07,0.961,0.144,1,0.15
3,0.945,0.21,0.46,0.1,0.961,0.216,1,0.22
4,0.945,0.29,0.495,0.13,0.961,0.288,0.995,0.3
5,0.94,0.345,0.51,0.19,0.961,0.361,0.99,0.36
6,0.935,0.415,0.52,0.23,0.961,0.433,0.99,0.44
7,0.93,0.497,0.545,0.28,0.961,0.505,0.99,0.51
8,0.925,0.56,0.56,0.32,0.959,0.576,0.985,0.59
9,0.92,0.62,0.57,0.375,0.955,0.644,0.982,0.66
10,0.905,0.69,0.58,0.42,0.953,0.711,0.98,0.73
