k,precision,recall
106,0.4699056603773585,0.5299803627340111
107,0.4680373831775701,0.5322115460389912
108,0.46555555555555556,0.5338200836325242
109,0.46357798165137615,0.5361454169280786
110,0.4617272727272727,0.5380595942936841
111,0.4595495495495496,0.539745524797937
112,0.45785714285714285,0.5422968423008949
113,0.4557522123893805,0.5443479850667845
114,0.4531578947368421,0.5459369750843944
115,0.45156521739130434,0.5487676274362753
116,0.44913793103448274,0.5505367893101172
117,0.4471794871794872,0.5525915480288278
118,0.44542372881355935,0.5557651063206994
119,0.4432773109243697,0.5573568736985753
120,0.44083333333333335,0.5586132150595968
121,0.43842975206611573,0.5598770578771126
122,0.4364754098360656,0.5618491848825581
123,0.4343089430894309,0.5636090457959592
124,0.43185483870967745,0.5652531037881
125,0.43016,0.5670579706613956
126,0.4280952380952381,0.5685869971432033
127,0.4262992125984252,0.5703425031836954
128,0.4246875,0.5727434350752034
129,0.42271317829457367,0.5746171046765918
130,0.4203846153846154,0.5758647900705768
131,0.4179389312977099,0.5766887780639035
132,0.4160606060606061,0.5790720526017429
133,0.4142857142857143,0.580972052511112
134,0.41208955223880595,0.582399765308385
135,0.40985185185185186,0.5835979724287211
136,0.4075,0.584546892838706
137,0.4053284671532847,0.5856758676640774
138,0.40318840579710147,0.5867264665332295
139,0.40093525179856115,0.5874075973836989
140,0.39885714285714285,0.588375803475817
141,0.39659574468085107,0.5896859138478833
142,0.3945070422535211,0.5909287036805975
143,0.39237762237762236,0.5921697262106435
144,0.39034722222222223,0.5931081329221769
145,0.38813793103448274,0.5940202478463633
146,0.38602739726027396,0.5949400086799884
147,0.3838095238095238,0.5957866323599393
148,0.3816891891891892,0.5970375117969363
149,0.3795302013422819,0.5978900140836576
150,0.37733333333333335,0.5983621567428095
151,0.3752980132450331,0.5990162385608615
152,0.37342105263157893,0.6010485178061039
153,0.3715686274509804,0.6022316950013529
154,0.36948051948051946,0.6027038376605046
155,0.3676129032258065,0.6037484134699423
156,0.3655128205128205,0.6044533075054795
157,0.3635031847133758,0.6049078143443207
158,0.3616455696202532,0.6061554782049479
159,0.35955974842767296,0.6064816354626398
160,0.357625,0.6069436437579752
161,0.3558385093167702,0.6076094827895677
162,0.35376543209876543,0.6078642701962539
163,0.35184049079754603,0.6083111311256567
164,0.35,0.6088413810133954
165,0.3481212121212121,0.6095462750489324
166,0.3463855421686747,0.6106551875920638
167,0.34467065868263475,0.611511945635831
168,0.34285714285714286,0.6118993383807125
169,0.34106508875739644,0.6123461993101152
170,0.33947058823529414,0.6139087014309976
171,0.3377777777777778,0.614746056351786
172,0.33593023255813953,0.6149397527242269
173,0.3341618497109827,0.6152600313751485
174,0.3324712643678161,0.6157826353534488
175,0.3308,0.6162353748896217
176,0.3291477272727273,0.6165750566635222
177,0.32757062146892657,0.6173692182641655
178,0.32578651685393256,0.6174958005426465
179,0.32424581005586595,0.6180215327795494
180,0.32255555555555554,0.6182909722008876
181,0.32093922651933704,0.6186707190363306
182,0.3192857142857143,0.619181916699427
183,0.3177049180327869,0.6195616635348702
184,0.3160326086956522,0.6196882458133512
185,0.3143783783783784,0.6198148280918322
